C/C,N/C,O/C,S/C,C/N,N/N,O/N,S/N,C/O,N/O,O/O,S/O,C/S,N/S,O/S,S/S,C/P,N/P,O/P,S/P,C/F,N/F,O/F,S/F,C/Cl,N/Cl,O/Cl,S/Cl,C/Br,N/Br,O/Br,S/Br,C/I,N/I,O/I,S/I,gauss1(inter),gauss2(inter),repulsion(inter),hydrophobic(inter),Hydrogen(inter),receptor-ligand
 1724.0000,  434.0000,  399.0000,   11.0000,  248.0000,   59.0000,   55.0000,    2.0000,  168.0000,   42.0000,   36.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   64.3668,  789.3709,    0.8778,   44.5519,    1.1366,  2yrq.pdbqt; Z1874355644.pdbqt; 2yrq_pocket.pdbqt
 2226.0000,  565.0000,  555.0000,   33.0000,  431.0000,  113.0000,  107.0000,    7.0000,   67.0000,   17.0000,   20.0000,    2.0000,   97.0000,   26.0000,   22.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   66.0558,  955.1916,    1.2651,   29.2264,    0.7996,  2yrq.pdbqt; Z106406182.pdbqt; 2yrq_pocket.pdbqt
 1956.0000,  531.0000,  446.0000,   25.0000,  177.0000,   50.0000,   42.0000,    2.0000,  244.0000,   69.0000,   58.0000,    3.0000,   94.0000,   27.0000,   21.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  430.0000,  106.0000,   96.0000,    6.0000,   92.0000,   22.0000,   22.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   72.8522,  876.5269,    1.7097,   57.0194,    0.0000,  2yrq.pdbqt; Z244607892.pdbqt; 2yrq_pocket.pdbqt
 1724.0000,  448.0000,  364.0000,   21.0000,  244.0000,   61.0000,   48.0000,    3.0000,  167.0000,   39.0000,   30.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   55.7499,  723.0234,    0.7857,   48.5729,    1.2503,  2yrq.pdbqt; Z942113988.pdbqt; 2yrq_pocket.pdbqt
 1930.0000,  494.0000,  472.0000,   31.0000,  310.0000,   81.0000,   75.0000,    6.0000,  429.0000,  112.0000,  101.0000,    6.0000,  113.0000,   26.0000,   24.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   80.3667,  988.1275,    1.3568,   30.3938,    0.0000,  2yrq.pdbqt; Z1849454575.pdbqt; 2yrq_pocket.pdbqt
 2007.0000,  547.0000,  475.0000,   23.0000,  471.0000,  130.0000,  120.0000,    5.0000,   86.0000,   23.0000,   20.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   71.2091,  852.1424,    0.6789,   48.4977,    0.0000,  2yrq.pdbqt; Z1680189832.pdbqt; 2yrq_pocket.pdbqt
 2116.0000,  534.0000,  478.0000,   26.0000,  174.0000,   43.0000,   37.0000,    2.0000,  430.0000,  111.0000,   99.0000,    7.0000,   84.0000,   21.0000,   16.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,   76.0000,   18.0000,   16.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   87.7078,  908.4631,    1.7192,   67.9847,    1.9672,  2yrq.pdbqt; Z83013653.pdbqt; 2yrq_pocket.pdbqt
 1604.0000,  430.0000,  362.0000,   19.0000,  464.0000,  122.0000,  101.0000,    6.0000,  221.0000,   53.0000,   51.0000,    3.0000,  114.0000,   28.0000,   26.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   53.5080,  737.1779,    0.9738,   36.3782,    1.5823,  2yrq.pdbqt; Z1957837549.pdbqt; 2yrq_pocket.pdbqt
 1293.0000,  354.0000,  323.0000,   15.0000,  309.0000,   77.0000,   70.0000,    5.0000,   97.0000,   26.0000,   28.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   95.0000,   28.0000,   25.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   58.1711,  628.1640,    0.4717,   32.3291,    0.4454,  2yrq.pdbqt; Z1170367805.pdbqt; 2yrq_pocket.pdbqt
 2465.0000,  615.0000,  586.0000,   15.0000,  272.0000,   67.0000,   61.0000,    2.0000,  202.0000,   52.0000,   46.0000,    1.0000,   88.0000,   22.0000,   20.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   76.2817,  999.1237,    0.7538,   28.4633,    0.7358,  2yrq.pdbqt; Z343577222.pdbqt; 2yrq_pocket.pdbqt
