predicted binding affinity,receptor-ligand
      5.3256,  2yrq.pdbqt; Z1845704493.pdbqt; 2yrq_pocket.pdbqt
      5.4123,  2yrq.pdbqt; Z1953147935.pdbqt; 2yrq_pocket.pdbqt
      5.3888,  2yrq.pdbqt; Z17375298.pdbqt; 2yrq_pocket.pdbqt
      5.5643,  2yrq.pdbqt; Z92221774.pdbqt; 2yrq_pocket.pdbqt
      5.2329,  2yrq.pdbqt; Z14243061.pdbqt; 2yrq_pocket.pdbqt
      5.6211,  2yrq.pdbqt; Z25748171.pdbqt; 2yrq_pocket.pdbqt
      5.6326,  2yrq.pdbqt; Z83427712.pdbqt; 2yrq_pocket.pdbqt
      5.2344,  2yrq.pdbqt; Z96784580.pdbqt; 2yrq_pocket.pdbqt
      6.7316,  2yrq.pdbqt; Z106986238.pdbqt; 2yrq_pocket.pdbqt
      6.0670,  2yrq.pdbqt; Z98622646.pdbqt; 2yrq_pocket.pdbqt
      5.1446,  2yrq.pdbqt; Z2107455275.pdbqt; 2yrq_pocket.pdbqt
      5.3606,  2yrq.pdbqt; Z223826946.pdbqt; 2yrq_pocket.pdbqt
      5.5554,  2yrq.pdbqt; Z1390798969.pdbqt; 2yrq_pocket.pdbqt
      4.3953,  2yrq.pdbqt; Z1334225775.pdbqt; 2yrq_pocket.pdbqt
      4.7054,  2yrq.pdbqt; Z1396072148.pdbqt; 2yrq_pocket.pdbqt
      5.3303,  2yrq.pdbqt; Z1418866992.pdbqt; 2yrq_pocket.pdbqt
      5.7487,  2yrq.pdbqt; Z44494521.pdbqt; 2yrq_pocket.pdbqt
      5.4378,  2yrq.pdbqt; Z335830178.pdbqt; 2yrq_pocket.pdbqt
      5.2492,  2yrq.pdbqt; Z287113224.pdbqt; 2yrq_pocket.pdbqt
      5.5779,  2yrq.pdbqt; Z25716442.pdbqt; 2yrq_pocket.pdbqt
      5.1043,  2yrq.pdbqt; Z326166984.pdbqt; 2yrq_pocket.pdbqt
      4.3820,  2yrq.pdbqt; Z14228030.pdbqt; 2yrq_pocket.pdbqt
      5.2773,  2yrq.pdbqt; Z14145229.pdbqt; 2yrq_pocket.pdbqt
      5.4477,  2yrq.pdbqt; Z284811862.pdbqt; 2yrq_pocket.pdbqt
      5.3419,  2yrq.pdbqt; Z978979526.pdbqt; 2yrq_pocket.pdbqt
      5.8097,  2yrq.pdbqt; Z57908796.pdbqt; 2yrq_pocket.pdbqt
      5.8950,  2yrq.pdbqt; Z57908255.pdbqt; 2yrq_pocket.pdbqt
      5.6334,  2yrq.pdbqt; Z57908907.pdbqt; 2yrq_pocket.pdbqt
      5.9557,  2yrq.pdbqt; Z57908293.pdbqt; 2yrq_pocket.pdbqt
      5.8020,  2yrq.pdbqt; Z57907743.pdbqt; 2yrq_pocket.pdbqt
      5.3848,  2yrq.pdbqt; Z1260559280.pdbqt; 2yrq_pocket.pdbqt
      5.1137,  2yrq.pdbqt; Z1254456852.pdbqt; 2yrq_pocket.pdbqt
      5.1505,  2yrq.pdbqt; Z1252455627.pdbqt; 2yrq_pocket.pdbqt
